cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok,subclass_id_label,class_id_label,cluster.markers.combo,descriptor,neuron_type
5206 Bergmann NN_1,2.6358199805891753,1.0922708861693602,1.9767772701266877,1.3329175100811848,2.0995994291905715,2.173441239632386,1.213926360536074,1.8517724888326892,0.792179263022175,0.00219237563912317,0.9238963561472996,1.2474811820874765,1.419070567757349,0.8087271198168177,0.926972856222955,4.822800402539353,1.985447890067165,0.00885925046007017,3.713531564065255,3.251908141064091,0.02390156866232697,0.32226365289570374,1.4680523539982226,0,4.37003569156425,2.488697928141772,2.3981939950142954,1.4969972024944596,6.213609569656386,1.573870891621586,2.318694356693198,3.007886429861058,5.571559835363318,2.01714615906552,3.848169282989594,0.1807475374320012,3.1363545635743733,1.5682652269419113,4.437147931641967,5.744860173276805,316 Bergmann NN,30 Astro-Epen,"Gpr37l1,Ctxn3",Bergmann glial cell; non-neuronal cell,NN
5207 Astro-CB NN_1,2.003587661923228,2.1276859925899196,0.958040880712318,0.9008610154087447,1.4592297243905237,1.2652492045244692,0.7572629565681332,0.9738241039511762,0.6691477237603604,0,0.3245914579827191,0.8103780460246515,2.32073937985169,0.37710949146386347,0.5393655400176148,3.4557979871065188,1.8016741700939365,0.01175609279623676,2.9013528729374314,2.6298109945995267,0.08570825414501981,0.24917678455094913,0.9704096878603066,0,3.3039722842770023,3.2313597602444095,2.1200308080041883,1.1220385969935598,2.5577897033491337,0.8219159563660344,1.695174619590208,1.5761174333123338,5.9561216331028435,0.9290171091928904,2.351885871731596,0.23686566858580616,2.237544753612616,1.0855131513311034,3.0145373494475036,4.792369078367185,317 Astro-CB NN,30 Astro-Epen,"Dao,Efemp1",astrocyte-Cerebellum; non-neuronal cell,NN
5208 Astro-NT NN_1,2.059100071589152,1.495378166437149,1.8365224649508791,1.2651029030481975,1.2182671626408894,1.5864015892148018,0.9305128107468288,1.708622636894385,0.8313405935962995,0,0.6275418723622957,0.9755171264211336,0.9419265786806742,0.383877694606781,0.6988639086484909,2.857601205507914,1.9677820454041164,0,2.752429040769736,2.684170017639796,0.2346974114576975,0.5712107469638189,0.894508071243763,0,6.188613253335158,2.7186560158928237,1.8388981148600576,1.43951469908158,3.76271104067564,0.9222794224818548,2.2325491880377135,2.629738934338093,3.665774951378504,0.8826285824179649,4.8491934935251875,0.12928033620119095,2.25115546832482,1.3171195710698764,4.61728951583306,6.736313760280609,318 Astro-NT NN,30 Astro-Epen,"Gfap,Galnt15,Agt",astrocyte-non-telencephalon; non-neuronal cell,NN
5209 Astro-NT NN_1,1.7859205615221625,1.1043451117937944,1.738461235439545,1.5218900279414356,1.2502551643297202,1.526841002254433,0.8832684672310491,1.4956896165619322,1.040991860179848,0,0.2779717498503024,0.6655387340481899,1.0249046416003724,0.4326104898638712,0.850768599337522,2.6240878762640993,1.99371047073088,0.00704227649401821,2.63403508324477,2.7592141707959614,0.1072104515139439,0.3586977716940027,0.9092662706348558,0,5.906857829240039,2.1158281641086165,1.719248303463864,1.4714740378610935,3.629559173557419,0.772424320656609,2.034424625067326,2.796653509804133,3.1999102282988994,1.169091117083196,4.274712767773684,0.2877155525770692,1.7946309259675008,1.4267832668378824,4.40122156554942,6.692501461937567,318 Astro-NT NN,30 Astro-Epen,"Gfap,Slc36a2,Sfrp5",astrocyte-non-telencephalon; non-neuronal cell,NN
5210 Astro-NT NN_1,2.140548310961042,1.7447893244879586,1.5626674243382046,1.516977732522147,0.9980080570493426,1.6676543201719012,1.006166018758501,1.4247864280428206,1.018243271963937,0,0.5388922112328666,0.3886395760944911,0.7857661928449359,0.4753625937870571,0.5848213604518345,2.627054330280849,1.6749190092086792,0,1.970819537980216,2.097759703227452,0.1308375494820731,0.24020817279815673,0.5135211161204747,0,5.611367361886161,2.804890445300511,1.1181255851473126,0.9423989874976022,3.857373908587864,0.7515874624252319,1.69513190473829,2.837411621638706,2.6799172878265383,1.1545485258102417,4.55047015122005,0.144253979410444,1.676763606071472,1.53851318359375,4.68537803036826,6.676967661721366,318 Astro-NT NN,30 Astro-Epen,"Gfap,Sfrp5,Cldn10,Riiad1",astrocyte-non-telencephalon; non-neuronal cell,NN
5211 Astro-NT NN_1,2.463083910138419,0.45886018838775294,1.716366007086936,1.288758347543438,1.3483207574051417,1.1140935019160925,0.3252899030621132,1.9242665258686191,0.9339686297298816,0,0.23406106970283425,0.3993933549088039,1.405780090374893,0.33353670527426044,0.661864880765422,2.4091484519872775,2.0217382130997903,0,2.9611291617489934,2.1630348623468634,0.0840190394540851,0.4541547860992089,0.6339912307396364,0,4.374456925338574,1.8383371803197968,1.473652861091528,1.4437141096993775,2.8714660848124645,0.8554875770311677,2.1893660566780007,2.81324211399207,3.6161812717994946,0.6434446934903606,3.4756289439254933,0.1467060453436348,1.57686582308137,1.6137980664713998,3.5726372579510293,5.438637615589613,318 Astro-NT NN,30 Astro-Epen,"Myoc,Six3os1,Slc36a2",astrocyte-non-telencephalon; non-neuronal cell,NN
5212 Astro-NT NN_1,1.8688525672067648,1.6319301074024908,1.660018085268499,1.087518662505507,1.3957356272768895,1.5973848582090695,0.7635122867671209,0.8736915464121666,0.7984926444311483,0,0.24468667499405553,0.791177027388582,1.6123095133405554,0.40209116298911624,0.8617770198113756,3.1759615363826192,2.2707041001086905,0,2.7057370161000605,2.8221962055864864,0.2815196972328211,0.22796546985738053,1.1044499338255642,0,4.383131272629728,2.601250946715911,1.7905760588009116,1.2123453593797715,3.723355249783892,0.9408271584526336,2.205535512793724,1.9719375802950283,4.34140235671003,1.106009183566811,3.238604789448095,0.15510628355442507,2.511116285665804,1.5318429633149884,3.831369909479098,5.3259133873234354,318 Astro-NT NN,30 Astro-Epen,"Agt,Prss35,C4b",astrocyte-non-telencephalon; non-neuronal cell,NN
5213 Astro-NT NN_1,2.2764931519826255,2.2434787485334606,1.458492914835612,0.7695478863186307,2.619287623299493,1.1040387948354085,1.519991397857666,0.71203811963399255,1.115963617960612,0,0,0.6854639053344727,1.64944060643514,0.4208268854353163,0.38117872344122994,2.206885920630561,1.82212577925788,0,2.3061815102895102,2.2721364498138428,0,0,0.36323968569437665,0,5.432963053385417,3.848759571711222,3.7011684576670327,1.3003025849660237,3.51265017191569,1.5592573748694525,1.5260619852277968,1.4839239120483398,5.184468348821004,2.1859735118018255,4.191334221098158,0,2.053031841913859,0.7348409758673774,4.370172288682726,5.733846611446804,318 Astro-NT NN,30 Astro-Epen,"Dao,Mecom,Fbln5,Prelp",astrocyte-non-telencephalon; non-neuronal cell,NN
5214 Astro-NT NN_2,2.0334797604225323,0.9449630567735728,0.9505189291724075,0.8992595908465396,1.1804588778709433,1.3012063634868571,0.7743130860904888,1.0766766618662702,0.6620513833026436,9.2361478002469e-4,0.41319436284865224,0.8275388572051966,1.5760243648532193,0.325768803347282,0.5461549021783285,3.434019825061335,1.6723921813902736,0.01177760444703432,2.7335652643795645,2.7477851596167833,0.06998372802454186,0.02406089531568226,0.9233346019289336,0,2.8201909064143824,2.885600047213362,1.403160658212724,0.7535117036095325,4.056815858754081,0.900484209972606,1.5418394208566435,1.572204440790509,3.845992525949762,0.7496460047852509,1.989236483237484,0.1895692718764452,1.9423772805652448,0.9433532921888852,2.8232632699784115,4.6147977256542,318 Astro-NT NN,30 Astro-Epen,"Gja1,A330076C08Rik,Sfrp5,Gria2",astrocyte-non-telencephalon; non-neuronal cell,NN
5215 Astro-NT NN_2,1.71490353175572,0.6603581238716624,0.9953555260905342,0.738510373787499,1.3323891038409734,1.360826435412391,0.8009774262102695,1.0500879577285729,0.6308506297372444,0,0.377089652137664,0.92548709823202,1.8482721700044868,0.3361313374683297,0.4998124871704249,3.463566019413835,1.4450965909980975,0.00807025059660756,2.684639089875302,2.858063165327539,0.3684551639880164,0.01783734693365582,1.0103526181920677,0,2.680027247283418,3.246818720053241,1.604197172529761,0.7136757323239675,3.7429819559646864,0.9344265614987576,1.3417834584880397,1.686751092167224,4.611345076387789,0.7519446814955002,1.9536302671363224,0.16533119718907244,2.2961733728459612,1.0127672412955444,2.4417838443913125,4.228754239994446,318 Astro-NT NN,30 Astro-Epen,"Gja1,A330076C08Rik,Otx2,Unc13c",astrocyte-non-telencephalon; non-neuronal cell,NN
