cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok,subclass_id_label,class_id_label,cluster.markers.combo,descriptor,neuron_type
5266 OPC NN_1,1.797235003169279,7.842464305846094,2.7932630217100027,0.6663287974292447,1.7161000056296405,3.358127224766196,0.8773097162661345,2.2569764336690645,1.1730441553498894,0.03738191754674813,0.28268864831075413,1.1242115502525314,5.853460679143112,2.8079375342059087,1.0764978351553527,2.256039555275169,2.053758448448734,0.02373175196519303,3.963251414999952,4.108733509885105,0.5010773755502009,1.3521638943295051,0.8491905816593526,0,1.6528054883021006,3.1472476501148927,1.8087149989284097,0.2971459284085418,5.170648160188095,1.4131114438453816,1.5052321613698765,2.3018561663341326,7.490577230789153,2.5250521456479533,3.575743430396291,0.2882409352446688,2.411723858574656,1.352876951482232,3.5687524625726863,5.16924806658032,326 OPC NN,31 OPC-Oligo,"Pdgfra,Pclaf,Mki67,Foxg1",oligodendrocyte precursor cell; non-neuronal cell,NN
5267 OPC NN_1,2.4075042020706903,7.967148072378976,3.7303921018327983,1.0837048689524331,2.3546572072165355,4.208722293944586,1.3156864370618548,3.2857732568468365,1.339179109391712,0.02863350141616094,0.3662299292428153,1.4896745045979818,6.8262937477656775,3.7576134590875534,1.330397167659941,3.0034104733240037,3.226137604032244,0.03637368792579287,5.00636556489127,5.044170188903808,0.6705708957853771,2.187186845143636,1.1919564156305222,0,2.362669783546811,4.019382224764143,2.305885771342686,0.28244026729038785,6.18596248626709,1.9691301686423168,2.179029807590303,3.0464277903238934,6.148253883634295,2.743474363145374,3.900425468172346,0.22442492530459449,3.0883963085356214,1.9519717557089669,4.669643259048462,6.237537363597325,326 OPC NN,31 OPC-Oligo,"Pdgfra,Pclaf,Irx2",oligodendrocyte precursor cell; non-neuronal cell,NN
5268 OPC NN_1,2.0203978620947027,7.994568777866051,2.7643044421285525,1.0304335183429292,2.2454688154638434,3.4912791021179337,0.986770659018913,2.9085516080415728,1.4491583284784535,0.00826154522675515,0.3982461539892432,1.5974092874370638,6.92980651102194,3.0925664468245073,1.225748863376555,3.7212711940401535,2.245164346055373,0.07776649129728269,4.777944972369426,4.639969750061831,0.7269984560112307,1.886531247467291,1.110137187599603,0,2.226151878183538,3.4937456549546404,2.100966921506447,0.5566375035287371,6.480646863246639,1.6499312542234554,1.905292922444919,2.800281427300989,7.493840642906337,2.4631460444937874,3.81508143790255,0.233514172131898,2.6277032097476782,1.6230537113240864,4.443107592899646,5.983345731360013,326 OPC NN,31 OPC-Oligo,"Pdgfra,Olig1,Mms22l,Top2a",oligodendrocyte precursor cell; non-neuronal cell,NN
5269 OPC NN_1,1.5363475312471535,6.896144137960221,1.9651230948078495,0.8842342389822575,1.6209265612071382,2.2363912163559285,0.9411219164748428,1.8285922291642571,1.403781267684958,0.0127262025268717,0.3069268819222889,1.228095157457993,6.479984139128661,1.7273175828877847,0.7682871846590769,4.142638254993277,1.428933458675233,0.0755800783069155,4.242319772178135,3.869533045924572,1.0261299037139868,1.7976380397440477,0.888636263377148,5.947574866400941e-5,2.2818255545798194,2.5038952013240263,1.392651363222529,0.570474149902285,6.036423680247856,1.0495147972553105,1.7003695125234477,2.241106370961545,6.399955497369803,1.6755606733881938,3.5022309390298423,0.22449005440346,2.0758630016698345,1.3352025774127991,4.449914069648233,5.973554807617241,326 OPC NN,31 OPC-Oligo,"Pdgfra,Olig1,Col27a1",oligodendrocyte precursor cell; non-neuronal cell,NN
5270 OPC NN_1,1.866918156851608,7.634426012481611,2.74724205826566,0.907468075399956,2.05906373692542,3.1385442487562645,1.0161483713851351,2.5350117482680226,1.5033845287008385,0.00251050626289393,0.3709792251029785,1.4401613269065254,6.906128517950523,2.6675892711914693,1.014861450981848,4.241309335756138,2.0394222883834052,0.08447590562486157,4.870697005303045,4.65192947150096,1.1265871567824453,2.1367567755102703,1.1063628057433976,0,2.4574789765364526,3.185782935611161,1.917490056085423,0.6266269517928055,6.511403130706643,1.335084636801297,1.8675363942519905,2.531711432122693,6.230242591543296,2.123254564824383,3.776510407629701,0.2652492476083159,2.552911181630138,1.5650234414949449,4.853387607536774,6.009315265208175,326 OPC NN,31 OPC-Oligo,"Pdgfra,Olig1,Rmi2,Col27a1",oligodendrocyte precursor cell; non-neuronal cell,NN
5271 OPC NN_2,1.0507672443064546,7.19891321989519,2.1187493175840073,0.8655402218100867,1.5711918614312277,2.5521318749832447,1.1683086337311182,1.338048235439797,1.3420257654779757,0.02779222754781434,0.0954394925123593,0.9341576983933764,3.6475477599894313,1.2356409767289152,0.9371579898191668,3.3395207838208947,1.2707425063607027,0.03153583134161129,4.182832233941377,3.396913483707127,0.6587481188621602,0.30203884446036333,0.47991038334649255,0,1.3608366934729537,2.0971782095650875,1.3309916697585509,0.5332787255488479,4.630820767965907,0.9170495538569208,1.4299925268331826,2.310622388620112,7.169820847033438,1.747844656393218,3.5368677354824825,0.24731009753782357,1.6788337861042797,0.9139465223243242,3.2471970393459424,6.024608404651634,326 OPC NN,31 OPC-Oligo,"Pdgfra,Cenpf,Cenpa",oligodendrocyte precursor cell; non-neuronal cell,NN
5272 COP NN_1,1.462920729007159,5.17698251435332,2.7811132279218165,1.0955086754883154,1.443720509394021,2.5975520577370537,3.0599817916688212,2.5190737512302266,1.9300678699916072,0.00801438001228749,1.0024060735528633,1.9229238327556035,9.835520577062898,1.6672170001025957,0.9330129220141268,4.624425882042541,1.6724568909381583,0.05720212777232723,5.075328632223656,4.142589231025621,0.2458423987010084,1.9036827322811432,1.3990361934624411,0,2.861197061458443,2.62764875818603,1.4494062907230971,0.8763975293907176,6.725373004629769,1.2822429040371115,2.3317573511249385,3.1319765055497264,6.442974214366576,2.039210228699287,5.778212996184575,0.22479694160472127,2.0894721272617036,1.69055425569018,4.702203421104506,6.521590226963894,327 Oligo NN,31 OPC-Oligo,"Gpr17,Bmp4,Zfp36l1",oligodendrocyte; non-neuronal cell,NN
5273 COP NN_1,1.2663840684553742,5.089540541621234,3.1886001879037713,1.2411501234728894,1.568548427556871,2.4442168667655437,3.8740453827103623,2.7374468064551736,2.043982039502549,0.00990004292725917,1.4269484028986323,1.8626023190162464,9.849556602598774,1.241151447292948,1.257146149659113,4.706005534381448,1.542132180293308,0.0402087372284881,4.968839072877689,4.264775116546253,0.2494583686498956,1.2090436532616795,1.862592120642559,0,2.8266310187125603,2.754628408496213,1.4086259229561329,0.929410473982147,6.829725050123627,1.4566569108696283,2.677103363874669,3.907735241136246,7.889089084753657,1.9550895410613427,6.936824992081964,0.2881599030009947,2.100415669659877,1.8131070470833897,4.9418815746316955,6.939178192481745,327 Oligo NN,31 OPC-Oligo,"Gpr17,Gp1bb,Pdzd2,Plekhg1",oligodendrocyte; non-neuronal cell,NN
5274 COP NN_1,0.5366356317387071,2.3956281806147377,2.1280379600303116,1.1497762619062912,0.3488737871480543,1.6701326592023982,2.204224802726923,0.972489079763723,1.2393417081167533,0,1.4018992712331373,0.892935827720997,7.961957970330881,0.6564037051311759,0.9704867656840834,3.09662958633068,0.5227741751559946,0,3.3885808240535646,2.3058504337488217,0.35738672489343687,1.221313848051914,0.7745224985965463,0,1.184786322504975,1.6548566402390943,0.9800199935602588,1.0578830380772437,4.999493330024009,0.8208505026129789,1.4601942245350328,2.1438076246616453,5.847563629926637,1.216574136600938,6.5749670377997464,0.14416110792825387,0.7298580186311588,1.0399616984433906,2.813255637191063,7.3066144682640255,327 Oligo NN,31 OPC-Oligo,"Gpr17,Bgn,Gstp1,C1ql1",oligodendrocyte; non-neuronal cell,NN
5275 COP NN_1,1.2847816710982376,5.486400506593204,3.011196311549507,1.1176594682725154,1.4441817664572234,2.093394550450174,4.062867443280027,2.219684610507585,2.1316487113928004,0.00446852458799017,1.2848167069723686,1.4770251706077604,9.292720158381655,0.6507744877100871,1.178337867629484,4.444301284107335,1.1858358422768511,0.05088565820257602,4.2462300418487775,3.9393969655476817,0.15019708849847097,0.6206618226322301,1.9161185857554643,0,2.6843130707300897,2.2901307062909173,1.2279129505597357,0.5418008671475513,5.865729477132819,1.5696335010422993,3.2825063702365127,3.783146040246056,8.909122308241924,1.5749456609747066,7.5230531894852755,0.32477959121725214,1.893476735181914,1.2801534984384515,4.9322747062493075,7.225205416828944,327 Oligo NN,31 OPC-Oligo,"9630013A20Rik,Bmp4,Mob3b",oligodendrocyte; non-neuronal cell,NN
