subclass,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
011 L2 IT ENT-po Glut,2.0845515704824393,5.03821822273551,4.0106029283923155,1.1713208605094811,2.369535767040809,2.7121451176525966,2.1498657027923262,3.641737966056004,2.346654285815571,0.046857597310393725,0.17080122116574972,2.353422335234368,4.426534721454843,1.3178768846051483,1.6474204242358197,5.60622833942749,2.3867963822820015,0.040071333330084384,4.659108202284922,5.235272650005493,4.566113104959286,3.921029610716241,1.5878637360960053,0.0,0.5696891793421999,4.517455320250138,1.61775073846782,1.6691980445616703,6.7019159755233035,3.0124221249095307,2.4713451658932746,5.050211890405507,4.551658546499763,2.7606901978957215,4.462513168094998,5.494291272843116,3.3465816852340944,3.398038862719649,4.834243322680372,6.689217805476219
012 MEA Slc17a7 Glut,2.95830169251785,5.012347770608932,3.23228017426291,1.539602709735335,2.050125777650728,2.710251563222041,1.8670326700559248,4.058246994607534,1.8519794486492518,0.006056765087037218,0.2558496817534149,2.520286742500637,6.317585174462541,1.8155224178148353,1.348461390507551,5.211467592588997,2.3467826069814888,0.19924697642740996,5.213411106116216,5.414610874016765,3.714441993373185,2.460678607837956,1.640272303084611,0.0,0.5995682785162342,5.245186488948792,1.4701431299622352,1.712733787675149,6.046807305991885,2.018565594019155,2.1409417298471505,4.40780663252348,4.334384273893749,2.517472283053304,3.210140141173314,4.456746109978484,2.233790140920006,2.763853494993783,4.54532214113375,5.5471551667089045
013 COAp Grxcr2 Glut,2.226235084722573,5.2157379012372775,1.8352017860704055,1.4437607028489474,1.0960292000328784,2.3394747007831374,1.5898559771715273,3.726447090198162,1.864256892145215,0.0013274444368983683,0.14437579540937187,1.8903576686981656,5.240137683735979,1.0332521409665112,1.1230473030958479,3.880530197519054,1.5292578233242495,0.21418946560956667,4.480697432803026,4.405569157219457,4.394627442496811,1.4439597489899092,1.0924281197656784,0.0,0.3925689094436778,4.4186903067719605,0.8713362746454119,1.5547709005203174,5.944597571268075,1.4265400530915082,1.6895071038435108,4.444828324002776,3.3914826797206343,1.9100830463704843,2.9679379773930497,4.965988236748405,1.4100989803575672,2.3870648412108113,4.057630633345768,5.624697592463429
014 LA-BLA-BMA-PA Glut,3.1886501100198914,4.019702199426604,3.44667495920043,1.9434867281142112,2.2637159138154135,3.0882008159745458,2.4648865272977276,3.792413443229476,2.4026956274709033,0.008621813618383205,0.27206064377408334,2.6269567367766933,6.466604124699566,1.7594997172533724,1.5886165218409136,5.612069866719524,2.5476640235164383,0.07348120256200022,5.890401013455567,5.744471605562541,1.9580067950922133,2.767444914505195,1.6994231527597112,0.0,0.6531217040624565,4.861632250377776,1.4910115781574096,2.2244501617381363,6.393890201821396,2.266582142750985,2.299780161065941,4.910046993699748,4.456496833690004,3.0495241473353665,3.817279928382909,5.018041844387767,2.6151759805346453,3.3924626936992843,5.0070219150135395,5.70779306349127
015 ENTmv-PA-COAp Glut,2.6805782616659175,3.1415233133001665,2.5473244248536275,1.5278679223413307,1.5883880043418586,2.809110372720517,1.6839661055966457,2.8284002230066023,1.9990528674756085,0.016722375595368266,0.17097397133855535,2.306335713950853,5.805921957391463,1.2286722024790964,1.188141875164274,4.934431601209424,1.9671442140724746,0.08130495813466396,4.9828410587410765,4.43790394529466,2.7593485652949132,1.5755972063117896,1.1035151672557681,0.0,0.5053267823309835,4.4634562823823805,1.371806555038701,1.2646183427434088,5.419459958790205,1.8278528856689595,1.7834756778434881,3.7810894336961494,3.9140234334425794,2.883221431186745,3.191832701411439,4.09615003090649,1.9907934667068508,2.4271763969314746,4.408425920497003,5.4739909079717775
016 CA1-ProS Glut,2.2092895568034514,6.788610220712954,3.963814270975872,1.8778392982170815,2.5288862073679788,3.1672708468841098,1.9698821007163838,2.9537596212618458,2.1716495374640297,0.025914322165633243,0.43972660325310875,2.4490036379013067,6.8906611123472565,1.1079711814222732,1.5230492589024824,5.237990746490836,2.345072141511472,0.04383012554867791,5.82997985993497,4.781133218680297,0.19585617170965927,4.358520631483521,1.8019860810561459,0.0,0.7440013427431977,5.076757820049341,1.385011577519845,1.5078227852384236,6.982219673516585,2.864612945639482,2.208446603919133,4.651940894860162,4.476456840285096,4.149071501262944,3.8097460952216897,4.644368927588023,2.5414286215120345,4.21241534219852,5.036643044204855,6.440625697039146
017 CA3 Glut,2.4610251950406052,3.0634701611275745,4.277766307742173,2.1901502937996082,2.977661303521844,3.538681077829486,2.7941128185817172,3.9370632876992384,2.5180849190491474,0.008461104726946406,0.5436891663664954,3.1718969977957543,6.812179860705786,1.2081446682296582,1.9382620346115296,5.8916316896899295,2.8170150467122483,0.04451824260455606,5.814981797476028,5.6228518665669,0.21241028770750262,4.776296065856312,2.2269444924327377,0.0,0.8508559120478788,5.522033461194851,1.759142691967341,2.0919570435436263,7.139253111226674,3.0042745430534716,3.3566372173879815,5.402618477371414,5.249248632807467,3.3788424082617614,4.153665511597636,5.4845446395837545,3.149099506231174,4.486753019736679,5.337856664008314,6.425574115823208
018 L2 IT PPP-APr Glut,2.2407285267547623,3.875028067338964,2.9388251386156776,1.0204130533213225,1.629039531282885,3.273745847632749,1.1528591894108509,2.399874348360383,1.7969686347513332,0.007904450528588508,0.056286632646180376,1.5383245718810805,4.623878945338855,0.6650805975867571,1.0266974258367576,4.321918140607418,1.3781015994099228,0.03440508472127192,4.202415990175383,3.9131110795590756,1.97663623992774,0.9555227121300822,0.8994921311805201,0.0,0.4336731268504672,3.584851308804944,1.1759850317856997,0.9470942929225874,4.976748480678895,1.5897963702955054,1.4301849255882422,3.6035383127664304,3.8387876142397914,2.1998712263851665,2.811174153774931,5.304440780852272,2.0847381288891045,1.8236204448862827,4.200829710068621,5.4949523194864325
019 L2/3 IT PPP Glut,2.359006322971377,4.123982220568719,3.432212720656423,1.012335473840887,1.8278932043416656,3.3672178710181853,1.299348097958149,2.8916716287412307,1.6686103983723355,0.019057920025426934,0.0906411806881987,2.0442784027343315,4.350704060195012,0.7992053272292088,1.137475466977043,4.903284708974433,1.573598685492307,0.03172992527239831,4.886852232114695,4.03233546625392,3.4888008680071168,3.308375821678445,1.1204203804449904,0.0,0.4951229271736417,3.5313270155684857,1.3219448511961678,1.2725390887425487,5.497827749902133,1.7811221136297635,1.7955050783213986,3.909543889972311,3.579507623397613,1.941604578717467,3.4363823815969203,5.294079348757551,2.252587294793872,2.0431824161024705,4.464881286025571,5.86000778216205
020 L2/3 IT RSP Glut,1.871926528619329,2.1698709082027428,2.7768888815684254,0.7254001652133697,1.2775663809278957,2.869245325767369,0.8310330498689191,2.532854449489079,1.2016729726395188,0.0023759370701553263,0.06707949769728733,1.094065338341573,1.781234260439943,0.3819998113070788,0.8632929267922639,4.221792750521555,1.3299547812555141,0.024585467250331682,4.006821275698696,3.713812687176427,2.148446384997809,1.2600967632017208,0.9519810119515387,0.0,0.42351913283555453,2.3632911138416532,0.9946367572459601,1.352315367996236,5.1601911071896485,1.1056425155016978,1.3562067272175602,3.1220045308471076,2.8602708562093406,1.058960914548594,2.57802689171006,3.7976929965550292,1.6983990911954139,1.7409287750966842,3.872445705727963,5.72428049240382
021 L4 RSP-ACA Glut,2.317941454298462,7.281014278596401,4.248541487479696,1.3119578585332754,3.1722024636834476,3.7998584183976223,1.9767079129150575,4.8178253732480885,3.013526173495742,0.010133811261558389,0.16308540998763058,2.2278299066755505,4.152418398839096,0.9996521946163855,1.9315823634285325,5.248649686264073,2.511399214824581,0.0397981459141138,4.2687615751769625,6.355379548004335,3.492926912999748,5.318800845978752,1.9577145193709808,0.0,0.736246376044806,4.864505949078053,1.6281367600369616,2.3619943107697248,7.252059707944356,3.018721867292466,2.8215772491103306,5.6616709701598635,4.67505023809247,1.8017151624977994,4.371035907706436,6.4506986864930465,3.2112488334681712,3.5359432227306984,5.616657831627405,7.661118729837177
022 L5 ET CTX Glut,2.863859307162705,5.040439571147453,4.238666549903049,1.546643922381125,2.7477663440576268,3.08168593882685,2.214812344811523,4.124055759289818,3.1014364404945685,0.009556807677369014,0.4493928771830845,2.2143347046241315,4.898840839743908,1.6894410966712918,1.7356836899966128,5.535428866527646,2.954184736722708,0.04143600680672724,5.377197480868148,6.262482811151732,0.9307396500334665,3.897200707329173,1.6480706955477005,0.0002188398432883045,0.7702365018399343,5.27190793611332,1.6965076398909282,1.844581678448832,7.284985755283727,3.008463898733554,2.257905358235469,5.339782904828281,4.787633490607767,2.8443067048939534,4.07291578344772,4.753230926331895,2.8019892368148454,3.7759599793107275,5.651373852052029,7.153784024387997
023 SUB-ProS Glut,2.6179561933740967,6.068152740815451,4.1485261272297205,1.490160654122059,2.843820469376638,2.914779894432779,2.0794658073899623,3.15321375531526,2.3721300761021067,0.014028911002542038,0.3678457799674056,2.1671126847515185,5.265214890711911,1.7694629656160734,1.6502378001190778,5.604382840218703,2.8593225394474144,0.03399926765420714,5.644018714501801,5.20571440663831,0.2513830233289093,4.108228435089963,1.5762329912547965,0.0,0.7033692727933356,4.93453808840362,1.6228081497583104,1.6601695733276602,6.934296579405552,3.18665432818517,2.0927978460723233,4.647661079864346,4.852836399416977,3.6344357602154562,3.959190474171028,5.342304075203187,2.9314729342817354,3.4451615765804022,5.350195410758832,6.392518400553721
024 L5 PPP Glut,2.399725810820315,3.744132767872316,3.7224668140838792,1.1150201440525322,1.7879838235571939,2.5674258306914686,1.1932859217085425,2.171988863070138,1.545206880703026,0.01445117601159574,0.1277981712704613,1.2838411579946845,6.010458592273274,0.9394117635505206,0.9764294834697947,5.070619498982149,2.1817795477327513,0.03238221343491925,4.748533057064569,4.648239534108245,1.3871491808517307,1.0927240479560125,0.9557034768978087,0.0,0.5156192260296071,4.202390518842959,1.2921104058832014,1.7227020641000999,5.989661314574277,1.9327752884028673,1.4511204792671846,3.7075254050623467,4.136534646612589,1.775214151508,3.3062387694831656,5.088188031140496,2.931300143233868,2.3592666369192408,4.572376186106386,6.306411615940703
025 CA2-FC-IG Glut,2.5054677251726387,1.6658217139542102,3.7648894671350717,1.5955402106046677,2.4230236269533636,2.5452640671283007,2.0048751924186945,4.116740429401398,2.0055100988596677,0.0,0.5035738099366427,2.2021189983934164,3.55804694108665,0.8023993961513043,1.5098448242992162,4.7565847061574456,1.474197554588318,0.029699822515249254,4.907123190537095,4.732212178036571,0.6772423043847084,6.044016645848751,1.875207032263279,0.0,0.5389693059027195,4.569413402304053,1.1749958168715238,1.605715887248516,6.7362488530576226,2.8723078977316616,2.7386558417230846,5.238032317534089,4.59210141338408,2.175581731274724,3.591382102295756,5.5771320424973965,2.4722526140511034,3.3913193710148333,4.23680937178433,6.041292768716812
026 NLOT Rho Glut,2.1875996349210087,4.736730573698878,3.667812168936838,1.4716763472692533,2.2434886665168134,2.5459203667600048,2.3756951478055934,4.2393369959159335,2.163156818259846,0.0,0.23980506458743053,2.045313799245791,6.114205673675645,1.1634460675784133,1.5807660486210475,4.85430643114854,1.8205317445099354,0.07234744388948787,5.075432625006545,4.791460317644206,3.351659991016442,1.1142115697941997,1.6597559685734184,0.0,0.4696637952530926,4.81014249575409,1.4066955367611214,2.0776001160795037,6.835916518149051,2.3733245857398617,2.2678977476263587,5.757939119230617,3.632262137125839,2.3476138975132597,3.591811577874151,8.220804547044365,2.298523503609679,3.634096580303528,4.8250418652526355,6.798815803771669
027 L6b EPd Glut,3.479983886474459,6.95473276511789,4.108347291488365,1.7701606911978698,3.250989250302902,2.896155608522481,2.9262898861481053,4.251004396929529,4.349008029435068,0.011109904585213496,1.0053206478433656,2.5789065550700783,5.729587008800412,1.561368740661978,1.7622751776220764,5.898291673977387,2.6715024544100454,0.06350863666957235,5.3232179778550055,6.10798161810842,4.447944556962093,2.436126144237706,2.2151622224911094,0.0,0.553066830916945,5.0692649696848076,2.1135225611367248,2.64885721329985,7.121830334099643,2.8109602520031296,2.9012388906455393,6.130010936647801,4.737556760358106,2.6974191413724364,4.363045678702481,5.881879800822348,3.021504549850971,4.042194809643505,5.026425737113201,6.74183017168139
