cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
0001 CLA-EPd-CTX Car3 Glut_1,2.8191686393173017,6.514038091867198,3.850137359935988,1.4217863728998972,2.137482255347622,2.958406660546724,2.534624205570946,4.880034236603643,2.9250935702075536,0.0059780870900362215,0.25947113291079427,2.580244165863134,7.801795493376082,1.0290500160004263,1.5531268228336659,6.004491209816004,2.370625084356096,0.062050034830906986,5.879624055171449,5.593704934972712,3.3620540837847757,1.7355218220629753,1.567225187779144,0.0,0.46172430430259687,4.930387889315186,1.3679929036369127,2.087768811790219,6.966711103608495,2.3380612189195795,2.8406522990056238,5.808833678917726,3.9540245057494916,1.7842377614437945,3.9268676603080968,6.8066967376684815,2.762701255902613,3.630594454198754,4.865234890715833,7.599224688021133
0002 CLA-EPd-CTX Car3 Glut_1,2.860371903260253,5.6779710524279015,3.6001778108447624,1.4468632861000643,1.8347177494393603,3.060719178375585,2.7373459729846408,4.5690559226485385,2.912622580537139,0.0015688174855701675,0.2730704053154205,2.39299342093595,7.0287082602265905,1.2274404754555794,1.5912727342489563,6.1097879026485185,2.2550788647191706,0.12393073573902777,6.037746265761827,5.334998560203372,4.006981227502995,1.1932736046931376,1.5902082856436976,0.0,0.515518880497218,4.666579143813054,1.2460769438580799,1.995796472814644,6.622420083655103,2.379458245322395,2.6162587165240545,5.727874097359395,4.000277374931776,1.6808174465251664,3.6125356957899126,6.537485045131728,2.767642910772048,3.508581842124129,4.782602508122842,7.584041120101768
0003 CLA-EPd-CTX Car3 Glut_1,2.7746586192645664,4.645645131569871,3.18188067981833,1.147881839895217,1.4551642723893838,3.134685448946013,1.7605220773443335,3.910428700567307,2.197093054037431,0.00553011012061718,0.18626945354068833,2.1264161221248776,6.803470096325827,0.8431231224739871,1.283782752163674,5.355064393260858,1.6186547431394642,0.06884940836112641,5.470431900289844,5.592186333778721,3.5397241610714087,0.7898110098595235,1.2469790111043988,0.0,0.4873779886051495,3.944969439006898,1.016438711856656,1.737433262018105,6.2297151320575495,1.8642986968169435,2.5243829920077996,4.699568930157041,3.2972608183674668,1.6199984250891497,3.5179537755645174,6.47269615181615,2.2365328765766406,2.75105934326135,4.4544462572146495,7.304003447938293
0004 CLA-EPd-CTX Car3 Glut_1,2.54534663274351,5.530688922768465,3.5220256750860024,1.2124160431119495,1.7312427418937462,2.70695957665988,1.7263589437140217,4.6038941605483945,2.405422482930901,0.008273027171561415,0.11063347080930387,2.221388857319188,8.117308223888658,0.67657286755043,1.4130028425459435,5.201190839775221,1.7732086641670475,0.042474846015375996,5.10781820409937,5.580228090081911,2.2164119337211465,1.19216986041726,1.3344147527961168,0.0,0.3731603500851733,3.9193662796077726,1.1411576355859967,1.8946331885020893,6.7111885488378125,1.9238476231390897,2.7753370131316264,5.386239450392183,3.580667781451797,1.4969433456410273,3.6828832663635587,6.966727041702646,2.3507090494059026,3.0475995700007363,4.776388601340291,7.393713408117251
0005 CLA-EPd-CTX Car3 Glut_2,2.0483048982692487,6.324474428187717,3.5101146083889585,1.3985991525379093,2.053168577452501,2.5415157594464044,2.4774553888674937,4.677026174285195,2.384416984337749,0.004558124777042504,0.16881695638100305,2.3727750606609113,7.529907828027552,0.753367086477352,1.3661226510550037,5.886509281216246,2.147397580471906,0.07140539631699071,5.449712441726164,4.988235946857568,3.534595297818834,1.3284645721767887,1.4138876181660276,0.0,0.2699379708730813,4.618176843180801,1.000695498603763,1.7917611454472397,6.821394110719363,2.230769718912515,2.565908296090184,5.738127202247128,3.79386356427814,1.2529063330906811,3.7675721351847504,6.6502809145233845,1.7913731487862992,3.5412001962011512,4.510373855179006,7.6858885631416785
0006 IT EP-CLA Glut_1,3.2539208796989523,3.207066040204731,3.1116605611726236,1.7058389820721214,1.7125418280726834,2.81137341359951,2.106185886434918,3.147279812940298,3.503028206594761,0.015743980234843368,0.4127572766783734,2.5605434100073268,5.6895486966360735,1.3716296625641538,1.3668220422239101,5.442957367961861,2.006018630867638,0.08541153330817323,5.486703695127251,5.199540592932629,6.353521654793143,0.5585927313188052,1.432525529602143,0.0,0.6340113861143049,4.718454404539933,1.4596515343808696,1.5217340219417008,6.357189516286476,1.5819589620810621,1.997292495386118,4.594019197445261,3.8102561703621443,2.3064866931236763,3.4239294457831773,4.394187657404522,2.2939263014094706,2.452835116411624,4.562048540914887,6.257568739332101
0007 IT EP-CLA Glut_1,3.5825093517297555,4.787676745930828,3.8048186956783328,1.9118081611144297,2.5443829040046615,3.2465886139029894,2.4634921785943114,3.6717185108711647,3.593034336579485,0.017483114543599958,0.5535675076804936,2.6863426892745843,6.719441329776569,1.6113890289903217,1.5405488439783948,6.346609510034215,2.5127399335677385,0.09380559349414694,5.85759157676882,5.43072846396109,4.759002929284988,0.8914852930166889,1.96346580852914,0.0,0.673243289889783,5.4205660246926,1.7717859308626789,1.9861654225317804,6.751213542859228,2.2373234144531366,2.342034169334898,5.286624454094992,4.3024413620633855,3.1578742446097543,3.670991176441304,4.927362204336847,2.6085516103423956,3.2825583401155822,4.816723043201211,6.323333633104862
0008 IT EP-CLA Glut_1,2.6023985680831676,4.42557887043382,3.9161655574940557,1.6644302106019362,2.871719555175806,2.602189031137232,2.4002653758695596,4.481509045296888,3.0663414291772257,0.004513103792196724,0.21931651109244832,2.6285103155378384,7.443642387691053,0.7063533321360554,1.3582422539447119,6.028755953203899,2.6450273369508266,0.0667755251756378,5.519893103432887,4.826663436530863,4.54691777848503,0.556261841919044,1.4270541291792416,0.0,0.35418181251553654,4.675205512243567,1.2806711670457351,1.3197617157570367,6.772346007013784,2.1621653526346276,2.286432320246033,5.599083381659776,4.55167275156018,1.8631042147531478,3.7142470190633077,4.856084744521329,1.9094143214735013,3.1229433635291928,4.881827691515673,6.794262442388195
0009 IT EP-CLA Glut_1,3.1519583326690914,5.381937645413549,3.861307138113806,1.6931869979272198,2.8960671345649582,3.1190248644731535,2.7637989822488036,4.026216127380667,3.879047580616893,0.023528890341286513,0.5404491522480499,2.5192467983714106,6.969110447303128,1.2710011457593748,1.7017580239410823,6.344057409456374,2.6705318028661695,0.06933039358039578,5.669271434679194,5.529812752072801,4.285368040183419,1.2458226443107192,2.019662126286766,0.0,0.5001051036454479,5.265110515260894,1.6231885322734514,2.1560747307679264,7.073121944879903,2.6457332802302944,2.455914541824545,6.013381124147909,4.287692708797481,2.955820946303941,4.053898895617504,5.942268849519413,2.6898498439436747,3.8816242892455,4.850759566407849,6.868631930190625
0010 IT EP-CLA Glut_1,3.0948717983401552,6.405938507477983,3.538013051696916,1.627549840209165,1.9159139408275925,2.7447585394593323,2.2609919123098154,4.199447396120517,2.915969153380448,0.011227774241613963,0.3138780301930953,2.156694575502218,6.9986849858376985,1.3857394692038192,1.3881027238979902,6.135210026418811,2.0721029310810324,0.061063272342119626,5.831961270632927,5.157460199732359,4.371911650071609,0.9817126446029767,1.4939270960230406,0.0,0.4884310763439083,5.221218532986111,1.5188729298087744,2.070291959239242,6.806948273630639,2.163335258998568,2.2926455387452833,5.664881413215412,3.814261231022357,2.2257587569100514,3.457688722480722,5.96119151364108,2.6778228055863154,3.108910876336822,4.531188468543851,7.0534423354531635
